pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,99,3.332223e-04,
TP53->-PIK3CA,2,1,84.000000,83,1.602432e-02,
PIK3CA->-TP53,2,1,68.434553,66,6.796163e-01,
MAP3K1->-PIK3CA,2,1,48.000000,47,2.980045e-02,
PIK3CA->-GATA3,2,1,41.155500,38,2.215323e-01,
TP53->-PTEN,2,1,38.000000,38,3.430491e-04,
GATA3->-PIK3CA,2,1,35.666667,34,6.896698e-01,
PIK3CA->-KMT2C,2,1,33.500000,33,2.701333e-02,
PIK3CA->-MAP3K1,2,1,33.000000,32,9.332098e-01,
CBFB->-PIK3CA,2,1,32.500000,32,2.541932e-06,
TP53->-KMT2C,2,1,29.400000,29,3.397892e-04,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.500000,4,5.630307e-02,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,2.925762e-01,
PIK3CA->-CDH1,2,1,28.500000,28,1.000000e+00,
PIK3CA->-ESR1,2,1,27.505464,26,2.587948e-02,
TP53->-NF1,2,1,27.000000,27,2.642084e-03,
PIK3CA->-FOXA1,2,1,27.000000,27,3.658363e-03,
CDH1->-TP53,2,1,25.666667,25,8.047280e-02,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.048377e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,2.534553,1,3.272750e-01,
TP53->-KMT2D,2,1,24.000000,24,3.337104e-04,
TP53->-MAP3K1,2,1,23.903146,23,3.667635e-04,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.500000,2,1.580948e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,3.264647e-01,
CDH1->-KMT2C,2,1,23.500000,23,4.165411e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.192796e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.119274e-01,
CBFB->-GATA3,2,1,21.000000,21,1.255216e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,4.252870e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.666667,5,1.222332e-02,
TP53->-RB1,2,1,21.000000,21,3.593454e-03,
PIK3CA->-ARID1A,2,1,20.166667,18,1.748006e-01,
KMT2C->-PIK3CA,2,1,20.000000,18,9.650245e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,2.500000,1,4.019464e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,4.500000,4,6.217447e-02,
PIK3CA->-FAT1,2,1,19.253606,18,6.437340e-04,
CDH1->-MAP3K1,2,1,19.000000,19,6.117082e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.104146e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,9.490482e-04,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
PIK3CA->-SF3B1,2,1,19.000000,19,5.628336e-06,
AKT1->-TP53,2,1,19.000000,19,1.119178e-05,
TP53->-CDH1,2,1,19.000000,19,7.501398e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,3.309161e-02,
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,2.500000,2,1.218062e-01,
CDH1->-ERBB2,2,1,18.928571,18,4.806577e-02,
CDH1->-FOXA1,2,1,18.665753,18,9.289842e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.053590e-04,
TP53->-NCOR1,2,1,18.661458,18,9.370277e-03,
PIK3CA->-RUNX1,2,1,18.600000,18,1.404617e-02,
TP53->-FAT1,2,1,18.000000,18,3.541915e-04,
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,3.414617e-02,
PIK3CA->-FAT1 PIK3CA->-TP53 TP53->-FAT1,3,3,3.000000,3,1.412568e-01,
CDH1->-TBX3,2,1,17.500000,17,2.764663e-02,
TP53->-GATA3,2,1,17.256098,17,1.204424e-02,
PIK3CA->-GATA3 TP53->-GATA3 TP53->-PIK3CA,3,3,2.500000,2,1.358955e-01,
PIK3CA->-GATA3 PIK3CA->-TP53 TP53->-GATA3,3,3,3.121951,3,4.359739e-02,
MAP2K4->-PIK3CA,2,1,17.166667,16,4.792153e-02,
PIK3CA->-NCOR1,2,1,17.100000,16,3.755659e-01,
TBX3->-PIK3CA,2,1,17.000000,17,2.428013e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,4.282532e-02,
TP53->-ARID1A,2,1,17.000000,16,8.535901e-04,
PIK3CA->-ARID1A PIK3CA->-TP53 TP53->-ARID1A,3,3,2.500000,2,7.951195e-02,
ESR1->-PIK3CA,2,1,16.500000,16,9.301716e-01,
CDH1->-ARID1A,2,1,16.100000,15,4.430277e-03,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,4.500000,4,7.787717e-02,
CDH1->-ARID1A PIK3CA->-ARID1A PIK3CA->-CDH1,3,3,2.000000,2,6.643906e-01,
NCOR1->-PIK3CA,2,1,16.000000,16,5.485989e-01,
NCOR1->-PIK3CA TP53->-NCOR1 TP53->-PIK3CA,3,3,3.000000,3,1.183249e-01,
CDH1->-RUNX1,2,1,15.000000,15,5.730639e-02,
CDH1->-PIK3CA CDH1->-RUNX1 PIK3CA->-RUNX1,3,3,4.600000,4,2.140107e-02,
CDH1->-RUNX1 PIK3CA->-CDH1 PIK3CA->-RUNX1,3,3,2.000000,2,5.202221e-01,
CDH1->-NCOR1,2,1,15.000000,15,1.632979e-02,
CDH1->-NCOR1 TP53->-CDH1 TP53->-NCOR1,3,3,2.000000,2,3.587996e-01,
