pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,100,1.642977e-11,
TP53->-PIK3CA,2,1,84.000000,84,2.279445e-02,
PIK3CA->-TP53,2,1,70.000000,70,6.069128e-01,
MAP3K1->-PIK3CA,2,1,49.000000,49,2.539961e-02,
PIK3CA->-GATA3,2,1,42.000000,42,2.274176e-01,
TP53->-PTEN,2,1,38.000000,38,2.753480e-05,
GATA3->-PIK3CA,2,1,36.000000,36,7.246537e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,5.701025e-02,
PIK3CA->-MAP3K1,2,1,32.000000,32,9.651265e-01,
CBFB->-PIK3CA,2,1,32.000000,32,1.819412e-05,
TP53->-KMT2C,2,1,29.000000,29,7.028048e-05,
PIK3CA->-CDH1,2,1,29.000000,29,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,4.912776e-03,
PIK3CA->-ESR1,2,1,27.000000,27,4.192575e-02,
TP53->-NF1,2,1,27.000000,27,5.623639e-03,
TP53->-MAP3K1,2,1,25.000000,25,2.877982e-05,
CDH1->-TP53,2,1,25.000000,25,1.491051e-01,
CDH1->-KMT2C,2,1,24.000000,24,1.019126e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.698917e-03,
TP53->-KMT2D,2,1,24.000000,24,4.329146e-06,
KMT2C->-PIK3CA,2,1,21.000000,21,9.513356e-01,
TP53->-RB1,2,1,21.000000,21,6.153148e-03,
CBFB->-GATA3,2,1,21.000000,21,2.245546e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,6.576675e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,1.813066e-02,
CDH1->-FOXA1,2,1,19.000000,19,6.985614e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.071442e-04,
CDH1->-MAP3K1,2,1,19.000000,19,9.909342e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.013056e-03,
PIK3CA->-SF3B1,2,1,19.000000,19,7.841322e-06,
CDH1->-ERBB2,2,1,19.000000,19,6.470389e-02,
PIK3CA->-FAT1,2,1,19.000000,19,1.666466e-03,
AKT1->-TP53,2,1,19.000000,19,5.741114e-05,
PIK3CA->-ARID1A,2,1,19.000000,19,3.620449e-01,
TP53->-NCOR1,2,1,19.000000,19,1.293615e-02,
PIK3CA->-RUNX1,2,1,19.000000,19,1.771922e-02,
TP53->-CDH1,2,1,19.000000,19,7.773290e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,5.068635e-02,
CDH1->-TBX3,2,1,18.000000,18,2.562360e-02,
TP53->-FAT1,2,1,18.000000,18,1.235600e-04,
TP53->-GATA3,2,1,18.000000,18,1.067295e-02,
TBX3->-PIK3CA,2,1,17.000000,17,3.000026e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,5.817586e-02,
MAP2K4->-PIK3CA,2,1,17.000000,17,8.794304e-02,
PIK3CA->-NCOR1,2,1,17.000000,17,4.400955e-01,
ESR1->-PIK3CA,2,1,16.000000,16,9.434994e-01,
TP53->-ARID1A,2,1,16.000000,16,4.625135e-03,
NCOR1->-PIK3CA,2,1,16.000000,16,5.771691e-01,
ARID1A->-PIK3CA,2,1,15.000000,15,8.356317e-01,
CDH1->-RUNX1,2,1,15.000000,15,8.538246e-02,
CDH1->-PIK3CA CDH1->-RUNX1 PIK3CA->-RUNX1,3,3,5.000000,5,3.102034e-02,
CDH1->-ARID1A,2,1,15.000000,15,3.422734e-02,
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,6.000000,6,2.323600e-02,
TP53->-ARID2,2,1,15.000000,15,4.430677e-06,
PIK3CA->-TBX3,2,1,15.000000,15,5.741909e-01,
TP53->-PIK3R1,2,1,15.000000,15,8.452699e-03,
CDH1->-NCOR1,2,1,15.000000,15,1.856654e-02,
PIK3CA->-KMT2D,2,1,14.000000,14,3.152232e-02,
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,1.485700e-02,
TP53->-NSD1,2,1,14.000000,14,9.300595e-06,
TP53->-BRCA2,2,1,14.000000,14,7.663184e-04,
TP53->-RUNX1,2,1,14.000000,14,2.169630e-02,
TP53->-ATR,2,1,13.000000,13,8.409497e-03,
TP53->-CREBBP,2,1,13.000000,13,2.868507e-03,
CDH1->-ESR1,2,1,13.000000,13,6.159978e-02,
TP53->-PTPRD,2,1,13.000000,13,6.357080e-04,
TP53->-STAG2,2,1,13.000000,13,3.759575e-03,
TP53->-KMT2A,2,1,13.000000,13,1.312565e-04,
PIK3CA->-PTEN,2,1,13.000000,13,4.141842e-01,
PIK3CA->-PTEN PIK3CA->-TP53 TP53->-PTEN,3,3,6.000000,6,8.999248e-04,
MEN1->-GATA3,2,1,12.000000,12,2.441406e-04,
PTEN->-TP53,2,1,12.000000,12,9.997989e-01,
PIK3CA->-SPEN,2,1,12.000000,12,5.895301e-02,
PIK3CA->-ATR,2,1,12.000000,12,2.534059e-02,
NF1->-TP53,2,1,12.000000,12,9.903798e-01,
NF1->-PIK3CA,2,1,12.000000,12,3.636806e-01,
TP53->-FLT4,2,1,12.000000,12,6.049782e-05,
TP53->-APC,2,1,12.000000,12,5.048934e-04,
TP53->-FOXA1,2,1,11.000000,11,5.973709e-02,
PIK3CA->-RB1,2,1,11.000000,11,2.342669e-01,
TP53->-CDKN2A,2,1,11.000000,11,1.570190e-02,
TP53->-PTPRS,2,1,11.000000,11,2.488564e-05,
TP53->-ERBB3,2,1,11.000000,11,5.183497e-05,
TP53->-ATM,2,1,11.000000,11,1.249348e-03,
TP53->-ESR1,2,1,11.000000,11,4.724271e-03,
PIK3CA->-NOTCH4,2,1,11.000000,11,8.346440e-03,
GATA3->-ARID1A,2,1,11.000000,11,3.391428e-01,
MAP3K1->-GATA3,2,1,11.000000,11,5.695699e-01,
GATA3->-PIK3CA MAP3K1->-GATA3 MAP3K1->-PIK3CA,3,3,5.000000,5,9.325044e-02,
TP53->-TBX3,2,1,11.000000,11,1.032452e-01,
ESR1->-GATA3,2,1,11.000000,11,1.830853e-01,
PIK3CA->-ATM,2,1,11.000000,11,2.966949e-01,
PTEN->-PIK3CA,2,1,11.000000,11,7.180704e-01,
TP53->-ALK,2,1,11.000000,11,7.836613e-04,
FOXA1->-PIK3CA,2,1,11.000000,11,9.959250e-01,
TP53->-MED12,2,1,11.000000,11,3.158435e-03,
CDH1->-CBFB,2,1,11.000000,11,2.518611e-01,
CBFB->-PIK3CA CDH1->-CBFB CDH1->-PIK3CA,3,3,5.000000,5,6.345300e-03,
TP53->-FBXW7,2,1,11.000000,11,5.015770e-03,
TP53->-SETD2,2,1,11.000000,11,5.608946e-05,
PIK3CA->-PTPRT,2,1,11.000000,11,1.806479e-02,
PIK3CA->-KMT2A,2,1,11.000000,11,3.014726e-02,
PIK3CA->-NF1,2,1,10.000000,10,6.928035e-01,
PIK3CA->-RICTOR,2,1,10.000000,10,1.142739e-02,
CDH1->-PTEN,2,1,10.000000,10,3.114174e-01,
TP53->-ATRX,2,1,10.000000,10,1.010441e-03,
PIK3CA->-MAP2K4,2,1,10.000000,10,9.129668e-01,
TP53->-CARD11,2,1,10.000000,10,5.029213e-03,
TP53->-NOTCH2,2,1,10.000000,10,8.450255e-04,
PIK3CA->-CREBBP,2,1,10.000000,10,1.373971e-01,
TP53->-EP300,2,1,10.000000,10,1.212770e-02,
TP53->-MAP2K4,2,1,10.000000,10,2.017210e-01,
CDH1->-GATA3,2,1,10.000000,10,1.123106e-02,
TP53->-NOTCH4,2,1,10.000000,10,5.396405e-04,
GATA3->-MAP3K1,2,1,10.000000,10,7.243205e-01,
PIK3CA->-MED12,2,1,10.000000,10,1.064241e-02,
ERBB2->-CDH1,2,1,10.000000,10,9.645252e-01,
TP53->-ARID1B,2,1,10.000000,10,3.025419e-02,
ERBB2->-PIK3CA,2,1,10.000000,10,3.387790e-01,
CDH1->-ERBB2 CDH1->-PIK3CA ERBB2->-PIK3CA,3,3,5.000000,5,1.672010e-02,
TP53->-EPHA5,2,1,10.000000,10,1.518099e-02,
TP53->-BARD1,2,1,10.000000,10,2.031250e-04,
TP53->-PTPRT,2,1,10.000000,10,2.072102e-03,
KMT2C->-GATA3,2,1,9.000000,9,2.692207e-01,
KMT2C->-MAP3K1,2,1,9.000000,9,5.299770e-01,
TP53->-EPHB1,2,1,9.000000,9,1.512910e-03,
ARID1A->-GATA3,2,1,9.000000,9,6.854446e-01,
AKT1->-CDH1,2,1,9.000000,9,4.481773e-01,
PIK3CA->-ARID2,2,1,9.000000,9,4.716830e-02,
TP53->-ROS1,2,1,9.000000,9,2.700362e-02,
CDH1->-MAP2K4,2,1,9.000000,9,3.701460e-02,
TP53->-RICTOR,2,1,9.000000,9,1.100902e-04,
PTEN->-NF1,2,1,9.000000,9,2.541932e-02,
PTEN->-NF1 TP53->-NF1 TP53->-PTEN,3,3,5.000000,5,6.317977e-03,
MEN1->-PIK3CA,2,1,9.000000,9,3.817401e-02,
AKT1->-GATA3,2,1,9.000000,9,1.334945e-02,
TP53->-ZFHX3,2,1,9.000000,9,2.974710e-02,
PIK3CA->-FLT4,2,1,9.000000,9,5.287500e-02,
TP53->-ERCC5,2,1,9.000000,9,7.233796e-04,
TP53->-SF3B1,2,1,9.000000,9,1.410590e-03,
PIK3CA->-POLE,2,1,9.000000,9,3.560865e-03,
TP53->-ARID5B,2,1,9.000000,9,2.903825e-03,
PIK3CA->-CDKN1B,2,1,9.000000,9,3.950722e-01,
TP53->-POLE,2,1,9.000000,9,4.676069e-04,
PIK3CA->-POLE PIK3CA->-TP53 TP53->-POLE,3,3,5.000000,5,1.988244e-04,
TP53->-TET2,2,1,9.000000,9,6.290584e-04,
TP53->-SPEN,2,1,9.000000,9,7.665222e-02,
ATM->-PIK3CA,2,1,8.000000,8,7.940128e-01,
MAP3K1->-KMT2C,2,1,8.000000,8,7.055363e-01,
PIK3CA->-ERBB2,2,1,8.000000,8,7.013697e-01,
PIK3CA->-ZFHX3,2,1,8.000000,8,3.075557e-01,
TP53->-TSC2,2,1,8.000000,8,3.265797e-02,
PTEN->-KMT2C,2,1,8.000000,8,2.718157e-02,
CDH1->-AKT1,2,1,8.000000,8,6.386989e-01,
TP53->-ANKRD11,2,1,8.000000,8,1.177436e-02,
TBX3->-CDH1,2,1,8.000000,8,9.760043e-01,
CDH1->-BRCA2,2,1,8.000000,8,1.162760e-01,
PTEN->-CDH1,2,1,8.000000,8,6.750778e-01,
PIK3CA->-PTPRD,2,1,8.000000,8,7.252112e-03,
PIK3CA->-PTPRS,2,1,8.000000,8,1.228614e-01,
PIK3CA->-PTCH1,2,1,8.000000,8,1.151058e-02,
NCOR1->-TP53,2,1,8.000000,8,9.815710e-01,
PTEN->-MAP3K1,2,1,8.000000,8,7.754859e-02,
RUNX1->-PIK3CA,2,1,8.000000,8,9.860122e-01,
CDH1->-CREBBP,2,1,8.000000,8,5.874966e-02,
KMT2C->-TP53,2,1,8.000000,8,9.995236e-01,
RB1->-TP53,2,1,8.000000,8,9.924000e-01,
TP53->-BAP1,2,1,8.000000,8,8.894413e-03,
RUNX1->-CDH1,2,1,8.000000,8,9.420944e-01,
CBFB->-MAP3K1,2,1,8.000000,8,4.715402e-02,
CBFB->-MAP3K1 CBFB->-PIK3CA MAP3K1->-PIK3CA,3,3,6.000000,6,3.239580e-04,
CDH1->-NF1,2,1,8.000000,8,2.497354e-01,
CDH1->-PTPRD,2,1,8.000000,8,6.312047e-03,
CDH1->-APC,2,1,8.000000,8,3.050913e-03,
PIK3CA->-CARD11,2,1,7.000000,7,5.133010e-03,
PIK3CA->-IGF1R,2,1,7.000000,7,2.500000e-03,
GATA3->-TP53,2,1,7.000000,7,9.837760e-01,
TP53->-DNMT1,2,1,7.000000,7,3.038194e-03,
CDH1->-KMT2D,2,1,7.000000,7,2.865349e-02,
CDH1->-EPHB1,2,1,7.000000,7,4.216270e-03,
PIK3CA->-NSD1,2,1,7.000000,7,8.463542e-02,
FOXA1->-MAP3K1,2,1,7.000000,7,3.092112e-01,
PIK3CA->-ANKRD11,2,1,7.000000,7,9.751591e-02,
PIK3CA->-BRCA2,2,1,7.000000,7,2.111317e-01,
PIK3CA->-DNMT3A,2,1,7.000000,7,2.984423e-02,
CDH1->-PTPRS,2,1,7.000000,7,3.620530e-03,
PIK3CA->-RFWD2,2,1,7.000000,7,1.896711e-02,
TP53->-MDC1,2,1,7.000000,7,5.286739e-02,
PIK3CA->-PLK2,2,1,7.000000,7,3.814303e-03,
TP53->-MTOR,2,1,7.000000,7,1.260648e-02,
MAP3K1->-ARID1A,2,1,7.000000,7,1.191478e-01,
ATM->-GATA3,2,1,7.000000,7,2.769886e-02,
GATA3->-SPEN,2,1,7.000000,7,2.491297e-01,
TP53->-DDR2,2,1,7.000000,7,1.685918e-02,
TP53->-PIK3CG,2,1,7.000000,7,5.639227e-03,
CDH1->-ERBB3,2,1,7.000000,7,5.390625e-02,
CDH1->-SPEN,2,1,7.000000,7,1.673177e-01,
PIK3CA->-PIK3C2G,2,1,7.000000,7,1.549479e-02,
PIK3CA->-DICER1,2,1,7.000000,7,3.785761e-02,
NCOR1->-GATA3,2,1,7.000000,7,2.707403e-02,
PIK3CA->-AR,2,1,7.000000,7,7.343750e-02,
TP53->-PIK3C2G,2,1,7.000000,7,1.786458e-03,
PTEN->-PIK3R1,2,1,7.000000,7,2.487313e-02,
MGA->-PIK3CA,2,1,7.000000,7,5.707015e-01,
TP53->-KDM6A,2,1,7.000000,7,5.050858e-02,
GATA3->-ESR1,2,1,7.000000,7,8.410675e-01,
MAP3K1->-TBX3,2,1,7.000000,7,8.749781e-02,
TP53->-GRIN2A,2,1,7.000000,7,3.978588e-03,
CBFB->-CDH1,2,1,7.000000,7,8.814396e-01,
MAP2K4->-TP53,2,1,7.000000,7,7.358355e-01,
PIK3CA->-ARID5B,2,1,7.000000,7,1.755715e-02,
CDH1->-SETD2,2,1,7.000000,7,6.250000e-03,
CTCF->-PIK3CA,2,1,7.000000,7,2.286621e-01,
PIK3CA->-MDC1,2,1,7.000000,7,1.116592e-01,
TP53->-INSR,2,1,7.000000,7,1.153935e-02,
CDH1->-KMT2A,2,1,7.000000,7,3.515625e-02,
TP53->-BCOR,2,1,7.000000,7,3.401124e-03,
RB1->-PIK3CA,2,1,7.000000,7,8.771755e-01,
PIK3CA->-MGA,2,1,7.000000,7,5.707015e-01,
TP53->-NOTCH1,2,1,7.000000,7,2.964988e-02,
PIK3CA->-KDR,2,1,7.000000,7,1.773867e-02,
TP53->-PDGFRA,2,1,7.000000,7,1.548611e-02,
TP53->-PALB2,2,1,7.000000,7,1.134591e-02,
TP53->-BRCA1,2,1,7.000000,7,7.377604e-02,
PIK3CA->-EPHA5,2,1,7.000000,7,1.911943e-02,
MAP2K4->-GATA3,2,1,7.000000,7,5.794271e-02,
PIK3CA->-BCOR,2,1,7.000000,7,1.115800e-01,
NOTCH1->-PIK3CA,2,1,6.000000,6,4.617961e-01,
PIK3CA->-ATRX,2,1,6.000000,6,2.497187e-01,
ESR1->-ARID1A,2,1,6.000000,6,2.087901e-01,
TP53->-DOT1L,2,1,6.000000,6,2.374579e-02,
TP53->-PIK3CB,2,1,6.000000,6,9.672619e-03,
ARID1A->-KMT2C,2,1,6.000000,6,5.799805e-01,
PIK3CA->-EPHB1,2,1,6.000000,6,4.617915e-02,
STK11->-PIK3CA,2,1,6.000000,6,1.988360e-01,
CDH1->-RICTOR,2,1,6.000000,6,1.188937e-02,
AKT1->-MAP3K1,2,1,6.000000,6,4.687500e-02,
