dataset,min_pval_exp,min_pval_theta
0,5.253636e-04,1.374542e-03
1,4.035692e-04,4.183791e-04
2,3.954179e-04,8.147284e-04
3,3.527713e-04,3.601022e-04
4,3.501055e-04,3.712096e-04
5,3.498834e-04,3.823170e-04
6,5.553704e-04,6.235661e-04
7,4.513370e-04,4.885708e-04
8,4.782517e-05,7.207220e-05
9,3.707653e-04,3.852049e-04
10,4.782517e-05,7.207220e-05
11,5.491996e-04,1.240079e-03
12,3.753379e-04,3.998667e-04
13,6.939909e-04,7.716049e-04
14,4.083083e-04,4.266356e-04
15,2.893519e-04,3.754304e-04
16,6.944444e-05,6.944444e-05
17,3.345551e-04,3.349994e-04
18,5.252082e-04,8.052871e-04
19,2.847447e-04,4.337505e-04
20,6.944444e-05,6.944444e-05
21,2.104469e-04,3.662113e-04
22,5.787037e-04,8.388836e-04
23,5.661232e-04,9.141167e-04
24,3.908546e-04,4.165278e-04
25,3.872043e-04,4.125292e-04
26,4.782517e-05,7.207220e-05
27,4.782517e-05,7.207220e-05
28,4.042871e-04,4.043097e-04
29,7.937356e-04,8.886272e-04
30,3.734205e-04,3.970899e-04
31,3.345551e-04,3.349994e-04
32,4.938272e-04,9.259259e-04
33,4.782517e-05,7.207220e-05
34,2.104469e-04,3.826369e-04
35,3.882039e-04,3.898700e-04
36,3.652116e-04,3.705432e-04
37,3.637676e-04,3.665445e-04
38,3.853654e-04,4.081973e-04
39,4.814954e-04,7.716049e-04
40,7.190136e-04,9.273945e-04
41,3.752944e-04,3.995066e-04
42,3.897392e-04,3.992003e-04
43,6.044607e-04,1.126895e-03
44,5.787037e-04,1.213565e-03
45,3.836687e-04,3.879818e-04
46,4.782517e-05,7.207220e-05
47,9.736801e-04,1.727886e-03
48,1.027435e-03,1.638343e-03
49,5.053588e-04,7.495591e-04
50,9.195665e-04,1.515074e-03
51,2.893519e-04,4.114184e-04
52,3.665445e-04,3.967566e-04
53,2.647118e-04,7.495591e-04
54,3.867686e-04,4.167982e-04
55,3.865378e-04,3.918694e-04
56,7.233796e-05,7.233796e-05
57,2.893519e-04,3.348884e-04
58,4.782517e-05,7.207220e-05
59,3.662113e-04,3.732089e-04
60,3.337776e-04,3.343330e-04
61,3.817616e-04,3.894257e-04
62,3.996446e-04,4.047540e-04
63,3.998667e-04,4.081973e-04
64,6.944444e-05,6.944444e-05
65,3.965345e-04,4.049761e-04
66,3.678774e-04,3.812063e-04
67,6.283069e-05,7.605820e-05
68,3.766522e-04,3.842053e-04
69,3.488421e-04,3.509247e-04
70,3.858025e-04,3.858025e-04
71,3.822059e-04,3.892036e-04
72,4.169721e-04,4.169721e-04
73,3.532156e-04,3.812063e-04
74,4.859491e-04,7.716049e-04
75,3.772068e-04,4.023885e-04
76,5.363509e-04,1.217605e-03
77,4.054204e-04,4.054204e-04
78,3.792069e-04,3.845385e-04
79,3.518827e-04,3.587693e-04
80,4.782517e-05,7.207220e-05
81,7.076540e-05,7.391053e-05
82,2.555598e-04,3.351212e-04
83,6.944444e-05,6.944444e-05
84,3.838720e-04,3.918694e-04
85,4.782517e-05,7.207220e-05
86,4.026436e-04,4.081973e-04
87,3.915362e-04,3.915362e-04
88,2.536294e-04,3.474008e-04
89,3.498834e-04,3.845385e-04
90,3.785969e-04,4.054204e-04
91,3.401724e-04,4.105298e-04
92,3.936466e-04,3.974231e-04
93,9.038017e-04,1.109835e-03
94,3.521049e-04,3.796512e-04
95,3.938687e-04,3.967566e-04
96,7.023849e-04,1.045948e-03
97,5.331556e-04,5.331556e-04
98,3.996446e-04,4.047540e-04
99,4.782517e-05,7.207220e-05
100,7.320893e-04,1.209375e-03
