pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,99,,4.999750e-05
TP53->-PIK3CA,2,1,84.000000,83,,2.256458e-03
PIK3CA->-TP53,2,1,68.434553,66,,4.850489e-01
MAP3K1->-PIK3CA,2,1,48.000000,47,,2.388424e-02
PIK3CA->-GATA3,2,1,41.155500,38,,3.114859e-01
TP53->-PTEN,2,1,38.000000,38,,5.390463e-05
GATA3->-PIK3CA,2,1,35.666667,34,,6.636841e-01
PIK3CA->-KMT2C,2,1,33.500000,33,,1.785974e-02
PIK3CA->-MAP3K1,2,1,33.000000,32,,9.164945e-01
CBFB->-PIK3CA,2,1,32.500000,32,,4.937239e-06
TP53->-KMT2C,2,1,29.400000,29,,5.365478e-05
PIK3CA->-CDH1,2,1,28.500000,28,,1.000000e+00
PIK3CA->-ESR1,2,1,27.505464,26,,3.348372e-02
TP53->-NF1,2,1,27.000000,27,,1.543459e-03
PIK3CA->-FOXA1,2,1,27.000000,27,,2.353266e-03
CDH1->-TP53,2,1,25.666667,25,,7.640094e-02
TP53->-KMT2D,2,1,24.000000,24,,5.030006e-05
TP53->-MAP3K1,2,1,23.903146,23,,1.057801e-04
CDH1->-KMT2C,2,1,23.500000,23,,2.172281e-04
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,,1.736990e-03
CBFB->-GATA3,2,1,21.000000,21,,1.091260e-04
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,,3.954581e-02
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.666667,5,,3.954581e-02
TP53->-RB1,2,1,21.000000,21,,2.331682e-03
PIK3CA->-ARID1A,2,1,20.166667,18,,3.464107e-01
KMT2C->-PIK3CA,2,1,20.000000,18,,9.788365e-01
PIK3CA->-FAT1,2,1,19.253606,18,,2.331162e-03
CDH1->-MAP3K1,2,1,19.000000,19,,5.688474e-04
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,,9.455568e-04
PIK3CA->-SF3B1,2,1,19.000000,19,,5.274430e-06
AKT1->-TP53,2,1,19.000000,19,,6.426710e-06
TP53->-CDH1,2,1,19.000000,19,,6.590184e-01
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,,3.236909e-02
CDH1->-ERBB2,2,1,18.928571,18,,7.812071e-02
CDH1->-FOXA1,2,1,18.665753,18,,1.883958e-03
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,,3.052904e-04
TP53->-NCOR1,2,1,18.661458,18,,1.631878e-02
PIK3CA->-RUNX1,2,1,18.600000,18,,2.632392e-02
TP53->-FAT1,2,1,18.000000,18,,6.044486e-05
CDH1->-TBX3,2,1,17.500000,17,,2.834854e-02
TP53->-GATA3,2,1,17.256098,17,,8.862035e-03
MAP2K4->-PIK3CA,2,1,17.166667,16,,1.102389e-01
PIK3CA->-NCOR1,2,1,17.100000,16,,5.031622e-01
TBX3->-PIK3CA,2,1,17.000000,17,,1.970777e-01
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,,3.962673e-02
TP53->-ARID1A,2,1,17.000000,16,,9.870441e-04
ESR1->-PIK3CA,2,1,16.500000,16,,8.905477e-01
CDH1->-ARID1A,2,1,16.100000,15,,1.543050e-02
NCOR1->-PIK3CA,2,1,16.000000,16,,5.035269e-01
CDH1->-RUNX1,2,1,15.000000,15,,4.961601e-02
CDH1->-NCOR1,2,1,15.000000,15,,1.619204e-02
TP53->-ARID2,2,1,15.000000,15,,5.073241e-05
TP53->-PIK3R1,2,1,15.000000,15,,2.096319e-03
PIK3CA->-TBX3,2,1,14.500000,14,,5.907222e-01
ARID1A->-PIK3CA,2,1,14.500000,14,,8.311818e-01
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,5.500000,5,,5.194737e-02
PIK3CA->-KMT2D,2,1,14.333333,14,,1.437663e-02
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,,9.925143e-03
TP53->-ATR,2,1,14.000000,13,,1.986460e-03
TP53->-PTPRD,2,1,13.903458,13,,1.491104e-04
TP53->-RUNX1,2,1,13.500000,13,,4.070058e-02
TP53->-BRCA2,2,1,13.500000,13,,2.508109e-04
TP53->-NSD1,2,1,13.000000,12,,4.608012e-04
PIK3CA->-ATR,2,1,13.000000,12,,1.627286e-02
TP53->-KMT2A,2,1,13.000000,13,,6.458277e-05
CDH1->-ESR1,2,1,13.000000,13,,5.859936e-02
PIK3CA->-PTEN,2,1,13.000000,13,,3.023238e-01
PIK3CA->-PTEN PIK3CA->-TP53 TP53->-PTEN,3,3,6.000000,6,,5.422523e-04
TP53->-CREBBP,2,1,12.666667,12,,1.396212e-03
TP53->-STAG2,2,1,12.500000,12,,5.186262e-03
