pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,100,1.642977e-11,
TP53->-PIK3CA,2,1,84.000000,84,2.279445e-02,
PIK3CA->-TP53,2,1,70.000000,70,6.069128e-01,
MAP3K1->-PIK3CA,2,1,49.000000,49,2.539961e-02,
PIK3CA->-GATA3,2,1,42.000000,42,2.274176e-01,
TP53->-PTEN,2,1,38.000000,38,2.753480e-05,
GATA3->-PIK3CA,2,1,36.000000,36,7.246537e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,5.701025e-02,
PIK3CA->-MAP3K1,2,1,32.000000,32,9.651265e-01,
CBFB->-PIK3CA,2,1,32.000000,32,1.819412e-05,
TP53->-KMT2C,2,1,29.000000,29,7.028048e-05,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.000000,4,1.512238e-01,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,3.598822e-01,
PIK3CA->-CDH1,2,1,29.000000,29,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,4.912776e-03,
PIK3CA->-ESR1,2,1,27.000000,27,4.192575e-02,
TP53->-NF1,2,1,27.000000,27,5.623639e-03,
TP53->-MAP3K1,2,1,25.000000,25,2.877982e-05,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,3.000000,3,1.463378e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,4.083605e-01,
CDH1->-TP53,2,1,25.000000,25,1.491051e-01,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.577676e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,4.000000,4,1.558091e-01,
CDH1->-KMT2C,2,1,24.000000,24,1.019126e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.698917e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.687902e-01,
TP53->-KMT2D,2,1,24.000000,24,4.329146e-06,
KMT2C->-PIK3CA,2,1,21.000000,21,9.513356e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,4.000000,4,1.512238e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,4.000000,4,1.620712e-01,
TP53->-RB1,2,1,21.000000,21,6.153148e-03,
CBFB->-GATA3,2,1,21.000000,21,2.245546e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,6.576675e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,1.813066e-02,
CDH1->-FOXA1,2,1,19.000000,19,6.985614e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.071442e-04,
CDH1->-MAP3K1,2,1,19.000000,19,9.909342e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.153188e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.013056e-03,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
PIK3CA->-SF3B1,2,1,19.000000,19,7.841322e-06,
CDH1->-ERBB2,2,1,19.000000,19,6.470389e-02,
PIK3CA->-FAT1,2,1,19.000000,19,1.666466e-03,
AKT1->-TP53,2,1,19.000000,19,5.741114e-05,
PIK3CA->-ARID1A,2,1,19.000000,19,3.620449e-01,
TP53->-NCOR1,2,1,19.000000,19,1.293615e-02,
PIK3CA->-RUNX1,2,1,19.000000,19,1.771922e-02,
TP53->-CDH1,2,1,19.000000,19,7.773290e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,5.068635e-02,
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,3.000000,3,1.191564e-01,
CDH1->-TBX3,2,1,18.000000,18,2.562360e-02,
TP53->-FAT1,2,1,18.000000,18,1.235600e-04,
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,4.005622e-02,
PIK3CA->-FAT1 PIK3CA->-TP53 TP53->-FAT1,3,3,3.000000,3,1.580749e-01,
TP53->-GATA3,2,1,18.000000,18,1.067295e-02,
PIK3CA->-GATA3 TP53->-GATA3 TP53->-PIK3CA,3,3,2.000000,2,4.008505e-01,
PIK3CA->-GATA3 PIK3CA->-TP53 TP53->-GATA3,3,3,4.000000,4,3.465667e-02,
TBX3->-PIK3CA,2,1,17.000000,17,3.000026e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,5.817586e-02,
MAP2K4->-PIK3CA,2,1,17.000000,17,8.794304e-02,
PIK3CA->-NCOR1,2,1,17.000000,17,4.400955e-01,
ESR1->-PIK3CA,2,1,16.000000,16,9.434994e-01,
TP53->-ARID1A,2,1,16.000000,16,4.625135e-03,
PIK3CA->-ARID1A PIK3CA->-TP53 TP53->-ARID1A,3,3,2.000000,2,2.277361e-01,
NCOR1->-PIK3CA,2,1,16.000000,16,5.771691e-01,
NCOR1->-PIK3CA TP53->-NCOR1 TP53->-PIK3CA,3,3,3.000000,3,1.443886e-01,
ARID1A->-PIK3CA,2,1,15.000000,15,8.356317e-01,
CDH1->-RUNX1,2,1,15.000000,15,8.538246e-02,
CDH1->-PIK3CA CDH1->-RUNX1 PIK3CA->-RUNX1,3,3,5.000000,5,3.102034e-02,
CDH1->-RUNX1 PIK3CA->-CDH1 PIK3CA->-RUNX1,3,3,2.000000,2,5.964604e-01,
CDH1->-ARID1A,2,1,15.000000,15,3.422734e-02,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,4.000000,4,2.126187e-01,
CDH1->-ARID1A PIK3CA->-ARID1A PIK3CA->-CDH1,3,3,2.000000,2,7.222046e-01,
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,6.000000,6,2.323600e-02,
TP53->-ARID2,2,1,15.000000,15,4.430677e-06,
PIK3CA->-TBX3,2,1,15.000000,15,5.741909e-01,
CDH1->-PIK3CA CDH1->-TBX3 PIK3CA->-TBX3,3,3,3.000000,3,3.883104e-01,
TP53->-PIK3R1,2,1,15.000000,15,8.452699e-03,
CDH1->-NCOR1,2,1,15.000000,15,1.856654e-02,
CDH1->-NCOR1 TP53->-CDH1 TP53->-NCOR1,3,3,2.000000,2,3.752824e-01,
CDH1->-NCOR1 CDH1->-PIK3CA PIK3CA->-NCOR1,3,3,3.000000,3,2.111623e-01,
CDH1->-NCOR1 CDH1->-PIK3CA NCOR1->-PIK3CA,3,3,4.000000,4,6.343402e-02,
PIK3CA->-KMT2D,2,1,14.000000,14,3.152232e-02,
PIK3CA->-KMT2D TP53->-KMT2D TP53->-PIK3CA,3,3,3.000000,3,2.167134e-01,
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,1.485700e-02,
TP53->-NSD1,2,1,14.000000,14,9.300595e-06,
TP53->-BRCA2,2,1,14.000000,14,7.663184e-04,
TP53->-RUNX1,2,1,14.000000,14,2.169630e-02,
PIK3CA->-RUNX1 PIK3CA->-TP53 TP53->-RUNX1,3,3,2.000000,2,1.962449e-01,
CDH1->-RUNX1 CDH1->-TP53 TP53->-RUNX1,3,3,2.000000,2,7.407407e-02,
TP53->-ATR,2,1,13.000000,13,8.409497e-03,
TP53->-CREBBP,2,1,13.000000,13,2.868507e-03,
CDH1->-ESR1,2,1,13.000000,13,6.159978e-02,
CDH1->-ESR1 CDH1->-PIK3CA PIK3CA->-ESR1,3,3,4.000000,4,5.486968e-03,
TP53->-PTPRD,2,1,13.000000,13,6.357080e-04,
TP53->-STAG2,2,1,13.000000,13,3.759575e-03,
TP53->-KMT2A,2,1,13.000000,13,1.312565e-04,
PIK3CA->-PTEN,2,1,13.000000,13,4.141842e-01,
PIK3CA->-PTEN TP53->-PIK3CA TP53->-PTEN,3,3,2.000000,2,4.307027e-01,
PIK3CA->-PTEN PIK3CA->-TP53 TP53->-PTEN,3,3,6.000000,6,8.999248e-04,
MEN1->-GATA3,2,1,12.000000,12,2.441406e-04,
PTEN->-TP53,2,1,12.000000,12,9.997989e-01,
PIK3CA->-SPEN,2,1,12.000000,12,5.895301e-02,
PIK3CA->-ATR,2,1,12.000000,12,2.534059e-02,
APC->-ATR APC->-MGA MGA->-ATR PIK3CA->-APC PIK3CA->-ATR PIK3CA->-MGA PIK3CA->-TP53 TP53->-APC TP53->-ATR TP53->-MGA,5,10,2.000000,2,4.169721e-04,
APC->-ARID2 APC->-MGA MGA->-ARID2 PIK3CA->-APC PIK3CA->-ARID2 PIK3CA->-MGA PIK3CA->-TP53 TP53->-APC TP53->-ARID2 TP53->-MGA,5,10,2.000000,2,3.894257e-04,
APC->-CARD11 APC->-MGA MGA->-CARD11 PIK3CA->-APC PIK3CA->-CARD11 PIK3CA->-MGA PIK3CA->-TP53 TP53->-APC TP53->-CARD11 TP53->-MGA,5,10,2.000000,2,4.065312e-04,
APC->-KMT2D APC->-MGA MGA->-KMT2D PIK3CA->-APC PIK3CA->-KMT2D PIK3CA->-MGA PIK3CA->-TP53 TP53->-APC TP53->-KMT2D TP53->-MGA,5,10,2.000000,2,3.820949e-04,
NF1->-TP53,2,1,12.000000,12,9.903798e-01,
NF1->-PIK3CA,2,1,12.000000,12,3.636806e-01,
NF1->-PIK3CA TP53->-NF1 TP53->-PIK3CA,3,3,3.000000,3,3.472483e-01,
NF1->-PIK3CA NF1->-TP53 TP53->-PIK3CA,3,3,4.000000,4,1.416277e-01,
TP53->-FLT4,2,1,12.000000,12,6.049782e-05,
TP53->-APC,2,1,12.000000,12,5.048934e-04,
TP53->-FOXA1,2,1,11.000000,11,5.973709e-02,
PIK3CA->-FOXA1 TP53->-FOXA1 TP53->-PIK3CA,3,3,3.000000,3,1.231255e-01,
PIK3CA->-FOXA1 PIK3CA->-TP53 TP53->-FOXA1,3,3,2.000000,2,3.757874e-01,
CDH1->-FOXA1 CDH1->-TP53 TP53->-FOXA1,3,3,2.000000,2,1.754882e-01,
CDH1->-FOXA1 TP53->-CDH1 TP53->-FOXA1,3,3,2.000000,2,1.754882e-01,
PIK3CA->-RB1,2,1,11.000000,11,2.342669e-01,
PIK3CA->-RB1 TP53->-PIK3CA TP53->-RB1,3,3,2.000000,2,3.933353e-01,
PIK3CA->-RB1 PIK3CA->-TP53 TP53->-RB1,3,3,4.000000,4,3.025886e-02,
TP53->-CDKN2A,2,1,11.000000,11,1.570190e-02,
TP53->-PTPRS,2,1,11.000000,11,2.488564e-05,
TP53->-ERBB3,2,1,11.000000,11,5.183497e-05,
TP53->-ATM,2,1,11.000000,11,1.249348e-03,
TP53->-ESR1,2,1,11.000000,11,4.724271e-03,
PIK3CA->-NOTCH4,2,1,11.000000,11,8.346440e-03,
GATA3->-ARID1A,2,1,11.000000,11,3.391428e-01,
GATA3->-ARID1A PIK3CA->-ARID1A PIK3CA->-GATA3,3,3,2.000000,2,3.232037e-01,
GATA3->-ARID1A GATA3->-PIK3CA PIK3CA->-ARID1A,3,3,3.000000,3,9.333350e-02,
MAP3K1->-GATA3,2,1,11.000000,11,5.695699e-01,
GATA3->-PIK3CA MAP3K1->-GATA3 MAP3K1->-PIK3CA,3,3,5.000000,5,9.325044e-02,
MAP3K1->-GATA3 PIK3CA->-GATA3 PIK3CA->-MAP3K1,3,3,2.000000,2,7.437045e-01,
TP53->-TBX3,2,1,11.000000,11,1.032452e-01,
ESR1->-GATA3,2,1,11.000000,11,1.830853e-01,
ESR1->-GATA3 PIK3CA->-ESR1 PIK3CA->-GATA3,3,3,3.000000,3,1.457001e-01,
PIK3CA->-ATM,2,1,11.000000,11,2.966949e-01,
PIK3CA->-ATM PIK3CA->-TP53 TP53->-ATM,3,3,3.000000,3,7.149536e-02,
PTEN->-PIK3CA,2,1,11.000000,11,7.180704e-01,
TP53->-ALK,2,1,11.000000,11,7.836613e-04,
FOXA1->-PIK3CA,2,1,11.000000,11,9.959250e-01,
CDH1->-FOXA1 CDH1->-PIK3CA FOXA1->-PIK3CA,3,3,3.000000,3,3.620529e-01,
TP53->-MED12,2,1,11.000000,11,3.158435e-03,
CDH1->-CBFB,2,1,11.000000,11,2.518611e-01,
CBFB->-PIK3CA CDH1->-CBFB CDH1->-PIK3CA,3,3,5.000000,5,6.345300e-03,
TP53->-FBXW7,2,1,11.000000,11,5.015770e-03,
TP53->-SETD2,2,1,11.000000,11,5.608946e-05,
PIK3CA->-PTPRT,2,1,11.000000,11,1.806479e-02,
PIK3CA->-KMT2A,2,1,11.000000,11,3.014726e-02,
PIK3CA->-KMT2A TP53->-KMT2A TP53->-PIK3CA,3,3,3.000000,3,2.391975e-02,
PIK3CA->-NF1,2,1,10.000000,10,6.928035e-01,
PIK3CA->-NF1 TP53->-NF1 TP53->-PIK3CA,3,3,3.000000,3,3.472483e-01,
PIK3CA->-NF1 PIK3CA->-TP53 TP53->-NF1,3,3,2.000000,2,6.410987e-01,
PIK3CA->-RICTOR,2,1,10.000000,10,1.142739e-02,
CDH1->-PTEN,2,1,10.000000,10,3.114174e-01,
TP53->-ATRX,2,1,10.000000,10,1.010441e-03,
PIK3CA->-MAP2K4,2,1,10.000000,10,9.129668e-01,
TP53->-CARD11,2,1,10.000000,10,5.029213e-03,
TP53->-NOTCH2,2,1,10.000000,10,8.450255e-04,
PIK3CA->-CREBBP,2,1,10.000000,10,1.373971e-01,
PIK3CA->-CREBBP TP53->-CREBBP TP53->-PIK3CA,3,3,3.000000,3,3.239338e-02,
TP53->-EP300,2,1,10.000000,10,1.212770e-02,
TP53->-MAP2K4,2,1,10.000000,10,2.017210e-01,
CDH1->-GATA3,2,1,10.000000,10,1.123106e-02,
CDH1->-GATA3 CDH1->-PIK3CA PIK3CA->-GATA3,3,3,4.000000,4,2.231493e-02,
CDH1->-GATA3 PIK3CA->-CDH1 PIK3CA->-GATA3,3,3,2.000000,2,3.510832e-01,
CDH1->-ESR1 CDH1->-GATA3 ESR1->-GATA3,3,3,3.000000,3,4.629630e-03,
CDH1->-ESR1 CDH1->-GATA3 CDH1->-PIK3CA ESR1->-GATA3 PIK3CA->-ESR1 PIK3CA->-GATA3,4,6,2.000000,2,1.736111e-03,
TP53->-NOTCH4,2,1,10.000000,10,5.396405e-04,
PIK3CA->-NOTCH4 PIK3CA->-TP53 TP53->-NOTCH4,3,3,3.000000,3,2.363079e-02,
GATA3->-MAP3K1,2,1,10.000000,10,7.243205e-01,
GATA3->-MAP3K1 GATA3->-PIK3CA MAP3K1->-PIK3CA,3,3,3.000000,3,4.731136e-01,
GATA3->-MAP3K1 GATA3->-PIK3CA PIK3CA->-MAP3K1,3,3,4.000000,4,2.367365e-01,
PIK3CA->-MED12,2,1,10.000000,10,1.064241e-02,
PIK3CA->-MED12 TP53->-MED12 TP53->-PIK3CA,3,3,2.000000,2,1.379362e-01,
PIK3CA->-MED12 PIK3CA->-TP53 TP53->-MED12,3,3,2.000000,2,1.379362e-01,
ERBB2->-CDH1,2,1,10.000000,10,9.645252e-01,
TP53->-ARID1B,2,1,10.000000,10,3.025419e-02,
ERBB2->-PIK3CA,2,1,10.000000,10,3.387790e-01,
CDH1->-ERBB2 CDH1->-PIK3CA ERBB2->-PIK3CA,3,3,5.000000,5,1.672010e-02,
TP53->-EPHA5,2,1,10.000000,10,1.518099e-02,
TP53->-BARD1,2,1,10.000000,10,2.031250e-04,
TP53->-PTPRT,2,1,10.000000,10,2.072102e-03,
PIK3CA->-PTPRT TP53->-PIK3CA TP53->-PTPRT,3,3,3.000000,3,7.442212e-02,
